epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2382.66,0.54304,0.4486,1.60084,0.93118,0.94717,0.97092,0.89265,0.51948,0.53248,2.17459,0.0002576,0.0002576,0.0002576
90,2404.52,0.49852,0.41146,1.51093,0.93008,0.94,0.97139,0.88954,0.52037,0.5308,2.10111,0.0002378,0.0002378,0.0002378
91,2426.05,0.51382,0.45724,1.70677,0.93057,0.93825,0.97133,0.89556,0.5201,0.53407,2.02091,0.000218,0.000218,0.000218
92,2447.25,0.46097,0.39422,1.6339,0.92945,0.93,0.96858,0.88184,0.54557,0.54652,1.99483,0.0001982,0.0001982,0.0001982
93,2468.79,0.46443,0.41523,1.43239,0.94952,0.91,0.96558,0.86852,0.56026,0.55309,2.01062,0.0001784,0.0001784,0.0001784
94,2490.11,0.47642,0.40755,1.66937,0.94785,0.90873,0.96106,0.8628,0.56479,0.55949,2.04741,0.0001586,0.0001586,0.0001586
95,2511.63,0.49002,0.40453,1.58318,0.94521,0.91,0.95775,0.86161,0.56557,0.55816,2.09256,0.0001388,0.0001388,0.0001388
96,2533.16,0.5615,0.50823,1.75947,0.9444,0.91,0.95572,0.8608,0.5481,0.55778,2.17558,0.000119,0.000119,0.000119
97,2555.54,0.45578,0.41559,1.69519,0.94553,0.91,0.95641,0.86297,0.54206,0.55614,2.18098,9.92e-05,9.92e-05,9.92e-05
98,2578.19,0.49006,0.44342,1.82926,0.94575,0.91,0.95691,0.86842,0.53422,0.55368,2.18207,7.94e-05,7.94e-05,7.94e-05
99,2601.57,0.44353,0.40112,1.55744,0.94563,0.91,0.95824,0.87015,0.52802,0.55057,2.19239,5.96e-05,5.96e-05,5.96e-05
100,2625.51,0.4217,0.38521,1.59381,0.94549,0.91,0.95698,0.86998,0.51984,0.54904,2.18164,3.98e-05,3.98e-05,3.98e-05
